id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,材料18,数量18,材料19,数量19,材料20,数量20,材料21,数量21,下準備1,下準備2,下準備3,下準備4,手順1,手順2,手順3,手順4,手順5,手順6,手順7,今月の福井ふるさとの味,料理の概要,ポイント,FIN
1,あぶらげ飯,白米,3合,出汁昆布5cm角,2枚,厚揚げ（具材）,1枚,人参（具材）,1/3本,ごぼう（具材）,半本,酒（具材）,大2,醤油（具材）,50cc,大根おろし,1/3本,ネギ（小口切り）,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,厚揚げは半分の厚さにし、2～3cm角に切る。ごぼうはささがきにして水にさらし、ザルにあげる。人参は千切りにする。,洗米し、いつもよりやや少なめの水加減にして、出汁昆布・酒・醤油を入れ、ひと混ぜする。,2に1を加え炊く。,食べる時に、大根おろし、小口切りネギをのせる。,,,,4月,福井は浄土真宗の信仰があつい仏教王国。信徒たちの最大の催事である「報恩講」の昼食には必ず油揚げ料理が添えられました。あぶらげは油揚げがなまった言葉。昔、油揚げは貴重なタンパク質であり何よりのごちそうでした。田んぼの用水を掃除する江掘りや、村の作業の後には、竹の皮に包んだ「あぶらげ飯」が振る舞われました。あぶらげ飯は、油揚げをご飯とともに炊き込み、地域によってはたっぷりの大根おろしをかけて食べる郷土料理です。,厚揚げの油でこくのある炊き込みご飯になります。大きめに切って厚揚げの存在感を出しても美味しい。ネギと大根おろしはたっぷりかけましょう。お好みで、食べる時にお醤油を少々たらしてもＯＫ。,FIN
2,たけのこご飯,米,2合,酒（調味料）,大さじ1,醤油（調味料）,大さじ2,塩（調味料）,少々,ゆでたけのこ（中サイズ）,半分,うす揚げ,1/2枚,人参,1/4本,出汁昆布,6cm角,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,たけのこは食べやすい大きさに、うす揚げは細かく、人参は細切りにする。,炊飯器に出汁昆布、洗米した米を入れ、やや少なめの水加減にする。,1の具材と調味料を入れて炊く。,,,,,5月,春の味覚を代表するたけのこ。竹冠に旬と書いて筍と読むように1旬（約10日間）で竹に成長することから、子供がすくすくと育つように願って食べられてきました。県内有数の産地である越前町旧宮崎村。赤土の土壌と手入れされた竹林で育ったたけのこは赤子と呼ばれ、甘みがあってやわらかくアクが少ないのが特徴。地元では刺身や天ぷら、煮物などたけのこづくしが味わえます。,季節には、生のたけのこを茹でて使いましょう。香りが違います。たけのこの茹で方：1穂先を斜めに切り落とし、途中まで包丁を入れる。2たっぷりの水に、米糠（又はコメのとぎ汁でもＯＫ）唐辛子一本を入れて最初強火、グラグラしたら中火で、竹串がスーッと刺さり柔らかくなったら火を止めそのまま冷ます。3流水で洗い糠を落とし、切込みから皮をむく。4水に漬けて保存し早めに使い切る。,FIN
3,たくあんの煮たの,たくあん,2本,だし汁（調味料）,3カップ,酒（調味料）,大さじ2,本みりん（調味料）,大さじ3,醤油（調味料）,大さじ3～4,鷹の爪（種抜き）（調味料）,2～3本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,たくあんを1cmの輪切りにする。,たっぷりの水で茹で、煮立ったらザルにあげ、必要なら更に水に漬けて塩抜きする。,ザルにあげた2を、鍋に入れ調味料を加え、柔らかくなるまで煮込む。,,,,,6月,大根を保存するために晩秋から暮れにかけて漬込まれた「たくあん」。夏頃には酸味も出て｢古たくあん｣と呼ばれます。それを塩だしして煮たのが「たくあんの煮たの」。手間暇かけてつくられることから「ぜいたく煮」とも呼ばれる、嶺北地方に伝わる家庭料理です。,たくあんにより塩分が違うので、塩抜き加減は味を見て調整する。醤油の量も、たくあんの塩加減によるので好みで調整する。辛いのがお好みの方は、鷹の爪の種を抜かずに使用してください。,FIN
4,葉寿司,米,2合,出汁昆布,6cm角,寿司酢,適量,椎茸戻し汁（調味料）,1カップ,酒（調味料）,大さじ3,本みりん（調味料）,大さじ3,醤油（調味料）,大さじ3,砂糖（調味料）,大さじ2～3,干し椎茸（中サイズ）（具材）,4枚,高野豆腐（具材）,10g,たけのこ水煮（具材）,100g,うす揚げ（具材）,1枚,ひじき水煮（具材）,大さじ3,人参（具材）,1/4本,金時豆,適量,あぶら桐の葉,10～15枚,,,,,,,,,,,干し椎茸はたっぷりの水につけ、ゆっくり戻して、細く切っておく。（戻し汁は煮汁に使う）,高野豆腐は水で戻し、細かく切る。（ あらかじめ細かい高野豆腐の市販品だと楽）,うす揚げは縦4等分し、細切りにする。たけのこは、2×1cm程度の薄切りにする。,人参は、細切りにする。,下準備した1～4とひじきの水煮を、調味料で煮汁が少なくなるまで煮る。,酢飯に1の具材を適量混ぜ、最後に金時豆を潰さないように混ぜる。,あぶら桐の葉に2を乗せ、半分に折りたたみそっと両手で押さえる。,,,,,8月,あぶら桐の葉で包んだお寿司。あぶら桐とは、その実を搾ると油（桐油）が採れ、福井県、特に若狭地方でかつて盛んに栽培され、19世紀後半には全国一の生産量を誇りました。あぶら桐の葉は表面に油気があり、ごはんがつかず、包むと保存性とともに独特の香りがあるため、九頭竜川流域ではすしの木として、各家庭に一本植えられています。地域によって五目ずしやますずしなど中身や包み方も異なり、お盆やお祭りには欠かせないご馳走として作られてきました。,,FIN
5,焼き鯖ちらし寿司,米,2合,出汁昆布,6cm角,寿司酢,適量,錦糸卵,適量,グリンピース,適量,干し椎茸（中サイズ）（具材1）,4枚,うす揚げ（具材1）,1枚,ひじき水煮（具材1）,大さじ3,人参（具材1）,1/4本,かまぼこ（具材1）,1/3枚,焼き鯖（ほぐして骨を抜く）（具材2）,1/3本,椎茸戻し汁（調味料a）,1カップ,酒（調味料a）,大さじ2,みりん（調味料a）,大さじ2,醤油（調味料a）,大さじ2,砂糖（調味料a）,大さじ1,醤油（調味料b）,大さじ1,砂糖（調味料b）,大さじ1,酒（調味料b）,大さじ1半,みりん（調味料b）,大さじ1半,生姜みじん切り,一片分,干し椎茸は水で戻して、細く切っておく。（戻し汁は煮汁に使う）,かまぼこは、薄く切り適当な大きさにする。,うす揚げは縦4等分し、細切りにする。たけのこは薄切りにし、2×1cm程度の大きさに切る。,人参は、細切りにする。,具材1は下準備した1～4とひじきの水煮を、ａの調味料で煮汁が少なくなるまで煮る。,具材2は、ほぐして骨を抜いた焼き鯖を、ｂの調味料で水分が無くなるまで煎り煮にする。,出汁昆布を入れて炊いたごはんに寿司酢を混ぜ、酢飯を作り、1と2の具材を混ぜ込む。,重箱に詰め、錦糸卵と茹でたグリンピースをちらす。,,,,9月,高浜町では新鮮な鯖がとれると、鯖街道を通って京都に運ばれていました。丸のまま焼いた焼き鯖はそのままでも美味しいですが、焼き鯖を利用したちらしずしは又、格別の味で祭りのご馳走として古くから作られ、慣れ親しまれています。,,FIN
6,のっぺい汁,大根,1/4本,人参,1/2本,里芋,小4個,ゴボウ,1/2本,厚揚げ,1/3枚,糸こんにゃく,50g,干し椎茸,4枚,ネギ,1本,だし汁（調味料）,3カップ,しいたけ戻し汁（調味料）,1カップ,酒（調味料）,大さじ2,みりん（調味料）,大さじ1,醤油,小さじ3,仕上げ材料,大さじ2の片栗粉を同量の水で溶いておく,,,,,,,,,,,,,,,,,,,干し椎茸を水で戻す。,里芋は皮をむいて一口サイズに、大根・人参は乱切りに、ゴボウは斜め切りにする。,厚揚げは短冊に、椎茸は半分、ネギは3～4cmに切る。,鍋に、ネギ、糸こんにゃく以外の材料を入れて、調味料を加え煮込む。,根菜類が柔らかくなったら、糸こんにゃく、ネギを入れてひと煮立ちさせる。,仕上げに、準備しておいた水溶き片栗粉を加えてお好みのとろみに調整する。,,10月,能平とも書き、「のっぺ」とも言いました。厚揚げや豆腐、大根、人参、里芋などの野菜を刻んで煮て、葛湯や片栗粉を加えてとろみをつけた料理です。汁を残さずに食べる目的で葛や片栗粉を使います。汁が粘って餅のようであることから濃餅と書きましたが、呼び名に字をあてたとも言われています。里芋の他、さまざまな野菜が入った汁物ですが、出されるのは主に法事などで、慶事には作りません。だし汁には里芋自体のとろみが出るので、冬場の寒い日にはことのほか喜ばれます。,干し椎茸の戻し汁が味の決め手です。捨てずに使いましょう。具材は、冷蔵庫にある残り野菜でもＯＫです。,FIN
7,ニシンのすし,塩漬けした大根,4本,人参,4本,身欠きニシン,1kg,麹,1kg,みりん,1カップ,薄口しょうゆ,1カップ,酒,1カップ,鷹の爪（唐辛子）,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,大根4本（4kg）を干して3％（120g）の塩で漬けておく。重石は大根の2倍（8kg）程度。身欠きニシンは糠を入れた水に一晩浸けて、柔らかくする。,,,,ニシンをきれいに洗って、2つから3つに切る。,大根は長さ10cm、厚さ1cmくらいの短冊に切る。,人参は厚さ1cmの斜め切りにする。,浸ける容器の一段目半分にニシンを残り半分に大根を敷き詰める。人参はその上に散りばめる。,次の段はニシンの上に大根、大根の上にニシンをというように交互に敷き詰めていく。,大根とニシンを並べたら、麹、鷹の爪、みりん、薄口しょうゆ、酒をかける。,重石をしっかりかけて20日ほど寝かせる。,11月,若狭地方の冬の風物詩として知られ、「ニシのすし」とも呼ばれています。米のとぎ汁につけた身欠きニシンに、米麹、塩漬けにした大根を交互に重ね、20日ほど漬け込んで作られる料理です。松前船や北前船で北海道から敦賀や小浜に運ばれてきた身欠きニシンを使って作られ始めました。,,FIN
8,せいこのせえげ,大根,1本,せいこがに,4杯,出汁入り味噌,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,せいこがにの身を出し、大根おろしを作る。,1と一緒に出汁入り味噌を鍋に入れて、最初は強火で煮る。,煮ている間は、こまめに混ぜて焦げ付かないようにする。,沸騰する直前で火を弱めてとろ火にする。,大根おろしの色が変わってきたら食べ頃。ごはんにかけてせえげ丼でいただくと格別である。,,,12月,ほぐしたせいこがにと大根おろし、味噌を鍋に入れ、ひたすら煮るだけの料理。鍋が煮立ち、大根おろしの色が変わってきたら食べごろです。ご飯にかけても、酒の肴にも最適です。ちなみに「せえげ」とは味噌を入れた鍋のことで、昔から伝わる郷土料理です。越前海岸の河野地区で昔から食べられている郷土料理です。せえげのルーツは、漁師が貝殻の中に味噌を入れて大根、海苔、わかめなどを入れて焚き、ご飯にのせて食べた漁師飯と言われています。また、鍋ひとつで洗い物を出さずに済むせえげは真水が貴重であった船の旅に重宝したという北前船ルーツ説もあります。,,FIN
9,呉汁,打ち豆,大さじ2,生大豆粉,45g,水,1カップ,だし汁,3カップ,味噌,適量,ネギ,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,打ち豆は袋の表示に従い茹でて柔らかくし、お湯を切ってすり鉢ですり潰す。,生大豆粉に少しづつ水を入れてなめらかに溶いておく。,だし汁を温め味噌をお好みの量入れて溶かす。,3が煮立ったら、1を入れて再度煮立たせふきこぼれない程度の中火にして、2を少しづつ加える。,かき混ぜずに、吹き上がってきたら弱火にして、大豆粉に火を通す。,ふわふわと柔らかな塊をそっと器に盛り付け、ネギを飾る。,,2月,大豆を一晩水に浸し、すりつぶしてできた「呉」（ご）を、味噌汁に溶かしたものです。呉汁は報恩講での精進料理の一つであるほか、家庭で冬の寒い時期に食べられています。具材は、油揚げ・豆腐・しいたけ・ねぎなどです。大豆をふんだんに使うため、大変栄養価が高く、最近では自然食品として健康を気遣う人たちに人気です。,吹き上がるので、深めのお鍋を使いましょう。その都度味を見て、大豆に火が通ったのを確認してください。ふわふわで、熱いうちに頂きましょう。,FIN
10,ぼっかけ,ごはん,お茶碗4杯分,人参,1/3本,ゴボウ,1/3本,厚揚げ,1/3枚,糸こんにゃく,50g,だし汁（調味料）,3カップ,酒（調味料）,大さじ2,みりん（調味料）,大さじ1,醤油（調味料）,小さじ3,塩,少々,花かつお,,,,,,,,,,,,,,,,,,,,,,,,,,人参は細切り、ゴボウはささがきに、厚揚げは大きめの短冊に切る。,鍋に調味料と、1を入れて煮込む。,根菜類に火が通ったら、糸こんにゃくを加え再度煮立ったら味を見て、塩で好みの味に整える。,器に盛ったご飯に、熱々の3をかける。,仕上げに、花かつおをのせる。,,,3月,炊き立てのご飯にあつあつの汁をかけた郷土料理です。ご飯に「ぶっかける」が転じたものです。坂井市のぼっかけは野菜たっぷりで、土の恵み豊かな土地柄が伝わってきます。ささがきゴボウ、細かく切った人参、厚揚げ、糸こんにゃくをたっぷりの削り節とともに煮込みます。特に坂井町上兵庫地区では結婚披露宴の最後に出される料理で、客にふるまいます。あまりにおいしいので、帰りかけた人も「ぼっかけて（追いかけて）」引き留めるほどの効果のある食べ物といういわれも伝わっています。,ご飯も熱々を用意しましょう。厚揚げの代わりに、お豆腐を入れてあっさりぼっかけで美味しい。,FIN
