id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,分量,FIN
1,米粉のスープ,ベーコン,40g,タマネギ,100g,ニンジン,1/4本,粒コーン,大さじ2,サラダ油,小さじ1,コンソメ,1個,水,2カップ,牛乳,2カップ,米粉,30g,,,,,,,,,,,,,,,,,米粉と牛乳を混ぜ合わせて30分間おく。,ベーコンは1cmの細切り、タマネギは薄切り、ニンンはいちょう切りにする。,鍋にサラダ油を熱し、2を炒め、水とコンソメを加え野菜が柔らかくなったら、粒コーンを加える。,1の米粉をかきまぜながら3に加え、ゆっくりと加熱してとろみをつける。,,,,,4人分,FIN
2,鶏肉のトマト煮,鶏ムネ肉,2枚,（鶏肉の下味用A）醤油,大さじ2,みりん,大さじ2,酒,大さじ2,にんにく,少々,米粉,100g,オリーブ油,100cc,酒,大さじ2,カットトマト缶,1缶,とろけるチーズ,100g,,,,,,,,,,,,,,,鶏肉を斜め薄切りにし、下味用Aに漬けこんでおく。,1の味付け鶏肉に米粉を入れ、もみ込む。,フライパンにオリーブ油を入れ、2の鶏肉をカリッと両面を焼く。,酢を加えて酸味を飛ばしてから、カットトマトを加えて煮込み、塩こしょうで味を調える。,4の上にチーズを散らしてふたをし、溶けたらできあがり。,,,,4人分,FIN
3,豆腐ハンバーグ,木綿豆腐,1丁,豚ひき肉,50g,塩こしょう,少々,米粉,大さじ2,生しいたけ,1枚,ニンジン,15g,ひじき,3g,しょうが,少々,（お好みで　甘酢あん）中華スープ,150cc,砂糖,大さじ1,しょうゆ,大さじ1,酢,大さじ3,ケチャップ,大さじ2,米粉,大さじ1,,,,,,,豆腐は水切りしておく。生しいたけ、ニンジン、しょうがをみじん切りにする。ひじきは水で戻しておく。,豚ひき肉、1、米粉、塩こしょうをよく混ぜ、４つに丸める。,フライパンで両面を焼く。,お好みで甘酢あんなどのソースをかける。,,,,,4人分,FIN
4,じゃがいももち,じゃがいも,300g（大2個）,米粉,80g,粒コーン,大さじ1,プロセスチーズ,30g,マヨネーズ,大さじ1,黒こしょう,少々,マスタード,お好みで,オリーブ油,少々,,,,,,,,,,,,,,,,,,,じゃがいもは塩ゆでし、つぶす。,米粉を加えてよく混ぜる。,とうもろこし、スモークチーズ、マヨネーズ、黒こしょう、マスタードを1に加えてよく混ぜ、丸めて平らにのばす。,フライパンにオリーブ油を敷き、両面を焼いて、焼き色をつける。,,,,,4人分,FIN
5,米粉の豆腐クレープ　サラダ巻き,米粉,100g,卵,2個,塩,少々,砂糖,10g,豆乳,200ml,溶かしバター,20ml,サラダ油,少々,（お好みで）サニーレタス、薄切りハム、スライスチーズ、マヨネーズなど,,,,,,,,,,,,,,,,,,,,卵、塩、砂糖、豆乳、米粉をボウルに入れ、粉っぽさがなくなるまでしっかりと混ぜる。,溶かしバターを加えて混ぜ、20分間ねかせる。,フライパンに油を熱して1をおたまで流し、薄くのばして両面を焼く。これを８枚焼く。,お好みの具をのせて巻く。,,,,,4人分,FIN
6,りんごのフリッター,リンゴ（紅宝）,1個,卵,1個,砂糖,80g,牛乳,150ml,米粉,200g,ベーキングパウダー,小さじ1,揚げ油,適量,（お好みで）グラニュー糖,適量,粉砂糖,適量,シナモンパウダー,適量,,,,,,,,,,,,,,,ボウルに卵を入れ、泡立て器で溶きほぐし、砂糖、牛乳、米粉、ベーキングパウダーを加えてよく混ぜ、20分ほど置く。,りんごは皮をむき、約１ｃｍの厚さの輪切りにし、芯を丸く抜く。,りんごに1の生地をつけ、約170℃の揚げ油で揚げる。,好みでグラニュー糖、粉砂糖、シナモンパウダーなどをふる。,,,,,4人分,FIN
7,米粉とじゃがいものニョッキ,じゃがいも,1kg,米粉,240g,粉チーズ,600g,玉子（L）,1個,,,,,,,,,,,,,,,,,,,,,,,,,,,じゃがいもを皮付きのまま茹でる。(塩は入れない)茹でたら皮をむき鍋に入れ、塩を軽くして火にかけ、余分な水分をとばす。,木べらでじゃがいもを潰す。,冷めたら米粉、粉チーズ、全卵を入れ、混ぜる。（練りすぎないこと）,一口大に切り分け、フォークで形を整える。,沸騰したお湯で２?３分茹でる。ザルにあげ、分量外のバター・粉チーズで味をととのえる。,,,,約20人分,FIN
8,豚肉の米粉カリカリ焼き秋獲りじゃがいものマッシュポテト添え,皮つき豚バラ肉,5kg,塩・コショウ,少々,水,2L,パインジュース（100%）,1L,赤ワイン,750cc,玉ねぎ,3個,野菜のくず(人参の皮、キャベツの外皮、パセリの軸、セロリの葉・軸など),,米粉,適量,（マッシュポテト）じゃがいも,1kg,牛乳,300cc,バター,200g,サラダオイル（あればラード）,,,,,,,,,,,,豚バラ肉を400?500gずつの塊に切り分ける。塩・コショウして表面に焼き色を付ける程度に焼いていく。,1とその他の材料全てを鍋に入れ、肉がやわらかくなるまで煮込む。煮汁につけたまま一晩おく。,肉を取り出し、一塊ごとにラップをし、さらに半日?1日冷蔵庫で冷やす。煮汁はソースに使うのでとっておく。,ソースを作る。煮汁を煮詰めていき（1/3くらいの量まで）、米粉でとろみをつける。,肉を1人前30?50gずつに切り分ける。塩、コショウして米粉をしっかり表面につける。,サラダオイル（あればラード）をフライパンにひき、片面ずつしっかり焼いていく。,（マッシュポテトを作る）じゃがいもを茹で、皮をむいてつぶす。,牛乳、バターを鍋に入れて火にかけとかす。8の中に入れて、混ぜ合わせ、塩、コショウで味を整える。,,FIN
9,米粉のクレープ秋獲りじゃがいものサラダ巻き,（クレープ生地（20枚分））米粉,70g,薄力粉,30g,牛乳,330cc,卵（L）,1個,水,60cc,バター,50g,（じゃがいものサラダ）じゃがいも,3個,トマト,2個,きゅうり,1本,赤・黄ピーマン,各1個,ホタテ貝柱,500g,小エビ,500g,マヨネーズ,,飾り用のハーブ（あれば）,,,,,,,,（クレープを焼く）バター以外の材料をボウルに入れ、泡立て器で混ぜ合わせる。,こがしバターを作る。（こがしすぎないように）,1の中にこがしバターを入れて、さっくり混ぜ、濾しておく。,3にラップをかけ、30分間冷蔵庫で休ませる。,直径18㎝のフライパンで1枚ずつ焼いていく。（生地にバターが入っているので、油はひかなくてよい。）,（じゃがいものサラダを作る）じゃがいもを茹で、冷めたら皮をむいて1cm各のさいのめ切りにする。他の野菜も１㎝角のさいのめ切りにする。,ホタテ、小エビを塩ゆでする。（ゆで加減はホタテ、エビの大きさにより変わるので注意）,6と7を混ぜ合わせ、塩、コショウ、マヨネーズで味付け。じゃがいものサラダを、クレープで巻いていく。お好みでハーブを飾って完成。,,FIN
10,鰆・じゃがいも・米粉の重ね銀カップ焼,鰆,30g×3切れ,じゃがいも,1個,牛乳,20cc,米粉,20g,マヨネーズ,大さじ1,塩・コショウ,少々,パセリ（みじん切り）,,,,,,,,,,,,,,,,,,,,,,鰆は1人分30gに切り分け、塩・コショウして銀カップに入れる。,じゃがいもはすりおろして、牛乳、マヨネーズとあわせる。それに米粉を混ぜる。,1の上に2をかけ、オーブンで焼く（目安10?15分間）,仕上げに彩りでパセリのみじん切りを散らす。,,,,,3人分,FIN
