id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,材料18,数量18,材料19,数量19,材料20,数量20,材料21,数量21,材料22,数量22,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,手順9,季節,野菜使用量/1人あたり,備考,FIN
1,春野菜和風カレー風味鍋,春キャベツ,100g,チーズ,20g,ウインナー,80g,ほうれん草,180g,豚薄切り肉,200g,薄揚げ,50g,春人参,100g,アスパラ,100g,もやし,100g,しめじ,100g,だし汁,5cup,みりん,大さじ1と1/2,薄口しょうゆ,大さじ1と1/2,濃口しょうゆ,大さじ1,片栗粉,大さじ2,カレー粉,大さじ1と1/4,水,50cc,,,,,,,,,,,キャベツは、下茹でしてチーズ・ウインナーを包む。ほうれん草はざく切り、もやしは水洗いして水気を切る。,人参は3mm厚さの短冊切り、しめじは小房に分け、アスパラは5～6cmの長さに切る。,薄揚げは、熱湯をかけて油抜きをして1cm幅の短冊に切る。,片栗粉・カレー粉を混ぜて水と混ぜておく。,鍋に、だし汁・みりん・薄口しょうゆ・濃口しょうゆを入れて強火にかけてひと煮立ちさせ、4を少しずつ加え煮溶かす。,土鍋に、5を移して火にかけスープが煮立ったら、具材を加え、煮えたものから小皿に取り分けていただく。,,,,春,約170g,,FIN
2,ふくいの春野菜鍋,春キャベツ,300g,勝山水菜,180g,ほうれん草,150g,新わかめ,30g,たけのこ,100g,生しいたけ,4枚,鶏肉,200g,昆布,10cm,酒,1/2cup,水,5cup,ポン酢,適宜,一味唐辛子,適宜,,,,,,,,,,,,,,,,,,,,,キャベツ・ほうれん草はざく切り、鶏肉は小さめの一口大に切る。勝山水菜は、固めに茹でて、4～5ｃｍの長さに切る。,たけのこは、縦に薄切りにする。ワカメは、塩抜きしてざく切りにしておく。,鍋に昆布と水を入れて火をかける。ふつふつと泡が出るくらいになったら昆布を取り出す。,酒を加えて、鶏肉を入れ、具材を加え、火が通ったら小皿に取り、好みでポン酢・一味唐辛子をかけていただく。,,,,,,春,約198ｇ,,FIN
3,越のルビートマト鍋,キャベツ,400g,玉ねぎ,100g,しめじ,100g,なす,160g,越のルビー,200g,豚肉,200g,ししとう,8本,トマト缶,1缶,水,400cc,コンソメ,2個,酒,大さじ1,砂糖,大さじ1/2,しょうゆ,大さじ1/2,おろしにんにく,1片,塩,少々,こしょう,少々,チーズ,適宜,,,,,,,,,,,キャベツは一口大、玉ねぎは1cm幅のくし形切り、シメジは石づきを取りほぐす。越のルビーは皮を湯むきして4等分にする。,なすは、鍋に入れる直前に乱切りにして水につける。ししとうは、ヘタを取り切れ目を入れておく。,土鍋に、トマト缶・水・コンソメ・酒・砂糖・しょうゆ・おろしにんにくを入れて煮立たせる。,3が煮立ったら、具材を入れ、15～20分程度煮込む（アクが出たら取り除く）。,煮えたら、チーズを乗せ、数分蓋をする。チーズがとろけていたら小皿に取り分ける。,,,,,夏,約200g,トマト缶がホールの場合は潰して入れる。また、トマトが旬の時期ならば、トマト缶の代わりに、完熟トマトをミキサーにかけて汁ごと加えるとおいしいです。,FIN
4,夏野菜のもりもりスチーム鍋,豚バラ薄切り,200g,キャベツ,200g,人参,100g,ししとう,10本,アスパラ,8本,かぼちゃ,150g,しめじ,100g,もやし,100g,酒,大さじ5,ポン酢,適宜,胡麻ドレッシング,適宜,,,,,,,,,,,,,,,,,,,,,,,豚バラは半分に切る。キャベツはざく切り、かぼちゃと人参は薄切りに、シメジは石突を取り、ほぐしておく。,キャベツは1/3量を鍋の底に敷きその上に豚バラを1/3量重ならないように並べる。,さらにもやし1/3量加え、さらにその上に他の野菜も1/3量並べる。,並べた具材の上から酒大さじ1.5位を振りかける。,2～4を後2回繰り返して酒をそれぞれに振りかけ、並べ終わったら蓋をして中火にかける。,鍋の蓋の穴から蒸気が噴き出してきたら出来上がり。小皿に取り、ポン酢か胡麻ドレッシングをかける。,,,,夏,約200g,,FIN
5,福井ポークのあったか鍋,福井ポーク,300g,白菜,300g,小かぶ,4個,人参,80g,水菜,120g,エリンギ,100g,昆布,10cm,水,5cup,塩,小さじ3/4,酒,大さじ2,こしょう,少々,味噌,60g,砂糖,大さじ2,みりん,大さじ1,水,1/4cup,練りゴマ,小さじ1,ポン酢,適宜,大根おろし,100g,,,,,,,,,小かぶの葉元を少し残して皮をむき、白菜をざく切り、人参は3mm厚さの短冊切りにする。エリンギは半分の長さに切り2～4等分にする。水菜はざく切り、大根はおろしてザルに上げて水気をきる。,味噌・砂糖・みりんを練り合わせ、水を加えて混ぜ合わせて練りゴマを加える。,鍋に昆布と水を入れ、出汁を取ってから塩・酒を加え、１の具材を彩りよくいれて煮立てる。,煮立ったら、大根おろしを乗せて小皿にとり2で作った味噌だれかポン酢でいただく。,,,,,,秋,約255g,,FIN
6,イカ入り豆乳鍋,イカ,小4杯,白菜,280g,里芋,200g,人参,60g,しめじ,100g,ブロッコリー,100g,玉ねぎ,100g,豆乳,200cc,しょうゆ,大さじ1/2,味噌,大さじ1強,だし汁,300cc,,,,,,,,,,,,,,,,,,,,,,,玉ねぎは薄切りにする。人参は3mm厚さの短冊切り、里芋は皮をむき半分にきる。,白菜は洗って3～4cmのざく切りに、シメジは石づきを落として小房に分ける。ブロッコリーは食べやすい大きさに切り分ける。,イカは足を内臓ごと取り出し、軟骨を抜き出して洗い足は内臓と目・嘴を切り取って胴の中に押し込む。,里芋は塩もみ（塩・分量外）し、茹でておく。ブロッコリー・イカもそれぞれサッと茹でる。イカは茹でたあと、4～5等分に切る。,鍋に玉ねぎを入れて火にかけ、空煎りして玉ねぎがしんなりしてきたら、しょうゆを回し入れる。,鍋に里芋・白菜・シメジ・人参を並べ入れ、だし汁を入れて中火で煮る。,野菜が煮えたら、イカ・酒・豆乳を入れる。沸騰する直前に味噌を入れて火を弱める。,味が良ければブロッコリーを加えて、一煮立ちしたら火を止める。,,秋,約160g,,FIN
7,ぶりアラの粕煮鍋,ぶりアラ,200g,人参,100g,大根,400g,こんにゃく,1/2枚,白菜,280g,万能ねぎ,20g,水,5cup,昆布,10cm,酒粕,130g,味噌,30g,煮切り酒,適宜,一味唐辛子,適宜,,,,,,,,,,,,,,,,,,,,,ぶりアラは塩（分量外）を振って10分程おき、熱湯で霜降り状にして臭みと汚れを取り、水気をきる。,人参は、太い部分は半月切り、細かい部分は輪切りで8mmに切る。,大根は、1cm幅のいちょう切り、こんにゃくは1.5cm角に切りそれぞれ下茹でして水にとってから水気をきる。,白菜はざく切り、ねぎは3cm長さに切る。,酒粕と味噌を混ぜ合わせ、固い時は煮切り酒でのばしながら柔らかいペースト状にしておく。,鍋に昆布を入れ、水とぶりのアラを加えてアクを取りながら弱火で煮立てて、5を溶き入れる。,6の中に白菜の芯から加え、2・3を加え煮立たせる。子皿に取り分けて一味唐辛子をふっていただく。,,,秋,約200g,,FIN
8,おでん鍋,白菜,280g,豚肉,100g,大根,400g,人参,100g,厚揚げ,300g,結び白滝,4個,さつま揚げ,4枚,ごぼう天,4本,結び昆布,4個,里芋,4個,薄揚げ,2枚,角もち,小2個,かんぴょう,適宜,だし汁,8cup,酒,1/2cup,砂糖,大さじ2,みりん,大さじ4,しょうゆ,大さじ4,塩,小さじ1,刻みねぎ,大さじ6,練りカラシ,適宜,柚子こしょう,適宜,大根は皮を厚めにむき、面取りして米のとぎ汁で15分程下茹でする。茹でたら水でよく洗う。,厚揚げ、ごぼう天、さつま揚げ等、練り製品、揚げ製品は熱湯を通して油抜きをする。結び白滝を下茹でしておく。,人参は、皮をむき4～6等分の乱切りにする。里芋は、こそげて皮をむいておく。,白菜は、下茹でする。芯の部分に豚肉を広げ、クルクルと巻き込む。,薄揚げを湯通してザルに上げ、粗熱が取れたら半分に切り、袋状に開く。,角もちは、5mm角に切る。角もちを1/4量づつ半分の袋状の薄揚げに詰めて、かんぴょうで口を結ぶ。,鍋に、だし汁・酒・みりん・しょうゆ・塩を入れ、ひと煮立ちさせて大根・人参・里芋・厚揚げ・結び昆布を加える。,煮立てば白滝・ごぼう天・さつま揚げを加えて、煮立てない火加減で30分ゆっくり火を通す。,食べる前に、もち巾着・ロール白菜を加え、温める。好みにより、刻みねぎ・練りカラシ・柚子こしょうをつける。,秋,約195g,鍋に火を通した後、できれば2時間くらいそのまま置き、食べる前に温めるとよりおいしくなります。,FIN
9,きのこ牡蠣味噌鍋,生しいたけ,4枚,しめじ,100g,えのき茸,100g,越前カンタケ,100g,春菊,180g,牡蠣,8粒,木綿豆腐,1丁,ねぎ,100g,白菜,250g,だし汁,5cup,味噌,大さじ1～2,,,,,,,,,,,,,,,,,,,,,,,白菜はざく切り、ねぎは斜め切り、カンタケ・しめじは小房に分けておく。,えのき茸は根本をとり半分に切っておく。生しいたけは飾り切りしておく。春菊はほぐしておく。,牡蠣を塩水で洗い、酒をふりかけておく。,土鍋に5cupの水を入れ、昆布でだしをとる。味噌大さじ1～2を入れ溶かす。,4のだし汁に1～3の材料と一口大に切った豆腐を加えて煮る。,煮えてきたら、汁と一緒に器に盛っていただく。,,,,冬,約215g,,FIN
10,蟹ちり鍋,蟹,足半身,焼き豆腐,1丁,白菜,280g,ねぎ,100g,春菊,180g,エノキ,100g,生しいたけ,4枚,水,4cup,酒,1cup,昆布,10cm,大根,400g,ポン酢,40cc,薬味,適宜,,,,,,,,,,,,,,,,,,,焼き豆腐は、8等分に切る。ねぎは斜め切りにする。春菊は洗ってほぐす。生しいたけは飾り切りする。白菜はざく切りにする。,大根は、おろして水気をきっておく。,鍋に水・酒・昆布を入れて火をかけ、煮立つ前に昆布を取り出す。だしが煮立ってから蟹を加え、春菊以外の１を入れて煮る。,煮えたら春菊を加えて、ひと煮立ちさせる。,鍋が煮えたら、2を山にして鍋に乗せ、小皿に取り分けてポン酢をかけていただく。,,,,,冬,約270g,,FIN
