id,献立名,献立1,献立2,kcal,塩分,野菜使用量,材料1,数量１,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,手順1,手順2,手順3,手順4,手順5,FIN
1,ほうれんそうと豚肉の蒸しサラダ,主食,ごはん(150グラム),250kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
2,ほうれんそうと豚肉の蒸しサラダ,主菜,ほうれんそうと豚肉の蒸しサラダ,245kcal,1.3g,135g,豚肉（しゃぶしゃぶ用）,320g,ほうれんそう,200g,もやし,200g,酒,大さじ2,ポン酢しょうゆ,大さじ3と1/3,大根,120g,ねぎ,20ｇ,,,,,,,,,,,,,,,,,,,,,ほうれんそうは5cmの長さに切り、豚肉も一口大に切る。豚肉は広げて酒を振りかけておく。,蒸し器にもやし、豚肉、ほうれんそうの順に何回か重ねて、湯気が上がってから10～15分蒸す。,ポン酢しょうゆに大根おろしと小口切りにしたねぎをまぜ、2にかける。,,,FIN
3,ほうれんそうと豚肉の蒸しサラダ,副菜,吹き寄せ煮,80kcal,0.8g,85g,さといも,120g,にんじん,40g,かぼちゃ,80g,しめじ,40g,まいたけ,40g,ぎんなん,24g,生麩（乾燥麩でもよい）,20g,薄口しょうゆ,大さじ1,みりん,大さじ2/3,砂糖,大さじ1,だし汁,300cc,,,,,,,,,,,,,さといも、にんじんは皮をむき、かぼちゃは種をとり、一口大に切る。さといもはさっとゆでておく。,しめじ、まいたけはさっと洗い、小房に分ける。,なべに１とだし汁を入れ、落とし蓋をして煮る。やわらかくなったら、調味料と2のきのこ、生麩（もみじ麩）とゆでたぎんなんを入れて仕上げる。,,,FIN
4,ほうれんそうと豚肉の蒸しサラダ,デザート,果物,45kcal,,,梨,中2個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
5,たらのフライ風・きんぴらごぼう,主食,ごはん(150グラム),250kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
6,たらのフライ風・きんぴらごぼう,主菜,たらのフライ風,195kcal,0.9g,80g,鱈（たら）,400g（4切れ）,酒,小さじ1,こしょう,少々,パン粉（細）,カップ1,サラダ油,大さじ1と1/2,小麦粉,適量,卵,1個,キャベツ,120g,みず菜,80g,トマト,小1個,ポン酢しょうゆ,大さじ1,,,,,,,,,,,,,先に、カリカリパン粉を作る。パン粉にまんべんなくサラダ油をまぶし、大きめの耐熱容器に入れ電子レンジ800～1000Wで熱し、5～7分できつね色にする。フライパンで弱火で炒めてもよい。,たらは酒とこしょうを振る。,2に小麦粉、溶き卵をつけ、カリカリパン粉をまぶす。,オーブントースターにクッキングシートを敷き、重ならないように並べ20分を目安に焼く。,つけ合わせ野菜を盛りつけ、ポン酢しょうゆを添える。,FIN
7,たらのフライ風・きんぴらごぼう,副菜,きんぴらごぼう,115kcal,1.3g,65g,ごぼう,1.5～2本（150g）,にんじん,1本(120g),合わせ調味料（酒・しょうゆ・みりん）,各大さじ2,ごま油,大さじ1と1/2,いりごま,適量,七味,お好みで,,,,,,,,,,,,,,,,,,,,,,,ごぼうを洗って泥を落とし、ささがきにする。（長さ5cmの斜め薄切りにし、せん切りにしてもよい）数分水にさらしざるにあげる。,にんじんも同様に切る。,フライパンにゴマ油を熱して、1と2を炒め、合わせ調味料で調味する。いりごまを入れる。,,,FIN
8,たらのフライ風・きんぴらごぼう,副菜,かき玉汁,35kcal,0.7g,30g,玉ねぎ,1/2個,生しいたけ,大1枚,卵,1個,片栗粉,小さじ1,水,カップ3,風味調味料,小さじ1,薄口しょうゆ,小さじ2,,,,,,,,,,,,,,,,,,,,,玉ねぎ、生しいたけを千切りにしておく。,鍋に水を入れ、1を加え煮る。,風味調味料を加え薄口しょうゆで調味する。,火を止め水溶き片栗粉を加えよくまぜる。再び火をつけ溶き卵を回しいれ、一煮たちしたら火を止める。,,FIN
9,たらのフライ風・きんぴらごぼう,デザート,柿とリンゴの盛り合わせ,40kcal,,,柿,1個,りんご,1個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
10,さばの味噌煮・ラッキョウ風味サラダ,主食,ごはん(150グラム),250kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
11,さばの味噌煮・ラッキョウ風味サラダ,主菜,さばの味噌煮,200kcal,0.8g,15g,さば,280g（4切）,みそ,大さじ1と4/5,砂糖,大さじ1,酒,大さじ1と1/3,本みりん,大さじ1/2,しょうが,1/2かけ,つけあわせ（ししとう）,12本,揚げ油,適量,,,,,,,,,,,,,,,,,,,なべに水、みそ、砂糖、酒を入れ煮立て、さばと薄く切ったしょうがを入れ、落し蓋をして時々煮汁をかけながら煮る。仕上げにみりんを加えとろっとしてきたら出来上がり。,ししとうはへたを取り、爪楊枝で数箇所穴をあけてから、揚げ油で揚げる。（油で炒めてもよい）,1にししとうを添えて盛りつける。,,,FIN
