id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,手順1,手順2,手順3,手順4,手順5,手順6,キャッチフレーズ,一汁三菜の位置づけ,おすすめポイント,FIN
1,ご飯のお焼き風,ご飯,300g,長芋,100g,ちりめん,20g,ねぎ,1本,かつお節,少々,塩昆布,大さじ1,白ごま,大さじ1,サラダ油,大さじ1,醤油,好み,マヨネーズ,好み,,,,,,,長芋をすりおろして材料すべてを混ぜ合わせる。,フライパンに油を熱し、半量ずつ焼く。,きれいな焼き色がついたら皿に盛り、好みで醤油やマヨネーズを添える。,,,,朝から家族で、ホットプレートでもできますよ。,ご飯（炭水化物）,お好み焼き風に、醤油やソースで味を楽しんで,FIN
2,ライスケーキ,ご飯,150g,卵,1個,ハム,1枚,コーン,大さじ1,玉ねぎ,50g,人参,20g,ピーマン,1/2個,チーズ（ピザ用）,15g,米粉,大さじ1,みりん,少々,塩,少々,こしょう,少々,サラダ油,大さじ1,ハム・玉ねぎ・人参・ピーマンを粗みじん切りにする。玉ねぎ・人参・ピーマンはレンジにかける。,ご飯と卵・ハム・野菜・チーズ・米粉・調味料を混ぜ合わせる。,フライパンにサラダ油を敷いて、半量ずつ焼く。弱火～中火で焼き、中まで火を通す。,,,,ごはんのパンケーキ風、日曜日のブランチに。,ご飯（炭水化物）,ゆっくり時間をかけて焼くのがこつ,FIN
3,ドリア風焼きシチュー,ご飯,茶碗2杯,ホワイトシチュー,適量,卵,2個,ブロッコリー,1/4房,とろけるチーズ,好み,パン粉,少々,,,,,,,,,,,,,,,グラタン皿にご飯とホワイトシチューを入れる。,中央をくぼませ、卵を割り入れブロッコリーを飾る。,チーズとパン粉を散らし、オーブンで焦げ色がつくまで焼く。,,,,今日は朝から洋食レストラン。,ご飯（炭水化物）,シチューやカレー等が残った時に,FIN
4,生姜おろし卵スープ,卵,1個,おろし生姜,大さじ1～2,ねぎ,少々,だし,1.5カップ,醤油,小さじ1/2,塩,小さじ1/3,片栗粉,大さじ1/2,水,大さじ1～2,,,,,,,,,,,卵はといておく。,ねぎは小口切りにする。,片栗粉は水で溶いておく。,鍋にだし汁と調味料を入れ沸騰させる。おろし生姜と水溶き片栗粉を加え、再度沸騰してきたら卵を糸状に流しいれる。,器に盛り、ねぎを散らす。,,朝すっきりと、卵の元気をいただきます。,汁もの,食欲のない朝や体調を整えるのにぴったり,FIN
5,具だくさんお団子汁,白玉粉（米粉）,30g,お湯,大さじ2～3,人参,30g,じゃが芋,1個,青菜,少々,水,1.5カップ,コンソメ顆粒,小さじ2,塩,少々,醤油,少々,,,,,,,,,白玉粉にお湯を加え、こねて団子にする。,人参・じゃが芋はサイコロ切り、じゃが芋は水にさらす。,青菜は茹でて、1cm長さに切る。,鍋に水とコンソメ・人参・じゃが芋を入れ、火にかけ、野菜が柔らかくなったら、団子を入れる。,団子が浮いてきたら、塩と醤油で味を調え器に盛り、青菜を散らす。,,ご飯と具だくさん汁で、パワー満点。,汁もの,コンソメ味、和風味と味を変えるだけで簡単チェンジ,FIN
6,大根の生姜味噌汁,大根,50g,里芋,1個,しめじ,50g,人参,30g,生姜,2片,ねぎ,1本,だし,1.5カップ,味噌,大さじ1,醤油,少々,,,,,,,,,大根と里芋・人参は皮をむいて1cm厚さのいちょう切りにする。,しめじは石付きを取り、子房に分ける。,生姜はすりおろす。,ねぎは小口切りにする。,鍋に大根・里芋・しめじ・人参を入れて火にかけ、柔らかくなったら味噌と醤油で味を調え生姜を加える。,器に盛り、ねぎを散らす。,たっぷり野菜で、目覚めるカラダ。,汁もの,体を温める根菜類は活動を始める朝に最適。肉類（たんぱく質）を入れる場合は、仕上がり直前に入れることでボリュームアップ。,FIN
7,卵ご飯焼き,卵,2個,ご飯,200g,醤油,好み,サラダ油,大さじ1/2,,,,,,,,,,,,,,,,,,,ご飯に卵と醤油を加えてよく混ぜる。,卵焼き器に薄く油を敷き、卵焼きの要領で焼く。,適当な大きさに切り、皿に盛りつける。,,,,プラス野菜で、カンペキ朝ごはんのできあがり。,おかず（たんぱく質）,見た目がきれい,FIN
8,焼き鯖で簡単ふりかけ,焼き鯖,1/2尾,生姜,1片,実山椒,大さじ1,青海苔,少々,砂糖,大さじ1/2,醤油,大さじ1,,,,,,,,,,,,,,,焼き鯖の頭・骨・皮を取り除き、細かくほぐす。,フライパンで生姜と焼き鯖を炒め、調味料を入れる。,実山椒を加え、弱火で鯖がふわっとするまで炒める。,器に盛り、青海苔を散らす。,,,あったかごはんに焼き鯖ふりかけ。,おかず（たんぱく質）,残った魚には香味野菜（生姜・山椒等）を加えて変化を,FIN
9,大根葉とじゃこのふりかけ,大根葉,100g,ちりめんじゃこ,大さじ2,麺つゆ,大さじ1,ごま油,少々,,,,,,,,,,,,,,,,,,,大根葉はさっと茹でて小口切りにし、固く絞る。,フライパンにごま油を入れて、ちりめんじゃこを炒める。,大根葉を加え、パラパラになってきたら麺つゆで味を調える。,,,,朝からおかわりっ！野菜じゃこふりかけ。,おかず（ミネラル）,捨てられがちな野菜の外葉や大根葉には、必要なビタミン・ミネラルがいっぱい,FIN
10,ほうれん草と舞茸のレモン醤油和え,ほうれん草,150g,舞茸,1/2パック,人参,30g,みりん,大さじ1,醤油,大さじ1/2,レモン汁,大さじ1/2,白すりごま,少々,,,,,,,,,,,,,ほうれん草はさっと茹で、冷水にとり、2cm幅に切り、かたく絞る。,舞茸は食べやすい大きさにほぐす。,人参は短冊に切る。,舞茸と人参をさっと茹でる。,鍋にみりんを入れ、一煮立ちさせて火を止め、醤油・レモン汁を混ぜ合わせる。,青菜と舞茸・人参を調味料で和えて器に盛り、ごまを散らす。,ほっこりごはんに、さわやか野菜の風が吹く。,おかず（ミネラル）,みりんを一煮立ちさせることで美味しさアップ,FIN
11,大根の皮きんぴら,大根の皮,150g,人参,30g,ちりめんじゃこ,15g,生姜,1片,ごま油,小さじ1,砂糖,小さじ1,塩,少々,醤油,少々,,,,,,,,,,,大根と人参・生姜はせん切りにする。,フライパンにごま油を入れて生姜とちりめんじゃこを炒め、調味料を加えて汁がなくなるまで炒める。,,,,,注目！野菜の皮で、きんぴらクラシック。,おかず（ミネラル）,新鮮な野菜の皮には旨味・香り・歯応えが勢揃い,FIN
