id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,材料18,数量18,材料19,数量19,材料20,数量20,材料21,数量21,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,手順9,手順10,手順11,手順12,手順13,手順14,手順15,ワンポイント,分量,FIN
1,もちもち米粉ときな粉麺,米粉,250g,強力粉,250g,きな粉,50g,みそ,大さじ4,中華のスープ素,小さじ1,鶏がらスープ素,小さじ4,料理酒,小さじ4,甜麺醤,小さじ2,にんにくすりおろし,小さじ2,豆腐肉,8枚,豆腐,180g,豚ひき肉,60g,米粉,20g,人参,80g,しいたけ,4枚,ブロッコリー,8かけ,キャベツ,200g,チンゲンサイ,100g,卵,2個,水・塩・油,,,,（麺）米粉と強力粉と塩8gを混ぜ合わせた後、半分に分けて片方にきな粉を加える。水を250gずつ加えてこねる。水を少しずつ足してまとまったら30分以上寝かす。,製麺機で1mmほどの太さに切る。,沸騰した多めのお湯で3分ほど茹でて、よく水を切って器へ。,（スープ）鍋に1200ccのお湯を沸かし、スープの素と料理酒を加える。残りの調味料は4等分し器に入れる。,4で出来た汁を300ccずつ器に加えて調味料がきれいに溶けたらスープの完成。塩やみそで味を調節する。,（豆腐肉）材料を全て加えて均一に混ぜ合わせた後、8等分にする。,180℃の油で表面がきつね色になるまで揚げる。,（野菜炒め）人参は短冊切り。しいたけは切り込みをいれ、ブロッコリーは小房にわけ、レンジで蒸す。キャベツとチンゲンサイは一口大に切る。,人参→キャベツ→チンゲンサイ→しいたけの順に炒める。,（半熟卵）卵を水の状態から鍋で茹でる。,沸騰したら火を止めふたをする。3分30秒ほど経ったら取り出し、水で粗熱をとったら完成。,具を盛り、スープを入れる。,,,,米粉にきな粉を混ぜ込んだ手づくり麺が特徴！,4人分,FIN
2,野菜タップリモチモチ米粉パスタ,米粉,150g,強力粉,150g,卵,4個,オリーブオイル,大さじ1,にんにく,1片,生姜,1/2個,塩・こしょう,適量,山椒,適量,人参,1/2本,たまねぎ,3/4個,茄子,1本,ねぎ,1/4本,牛肉,150g,トマト,1/2個,,,,,,,,,,,,,,,米粉と強力粉をボールに入れてさらに卵を入れ混ぜる。粉っぽさがなくなったら台に移し打ち粉をして、10分程こねる。なめらかな生地になったら、ラップに包み冷蔵庫で20分程休ませる。,にんにく・生姜をみじん切りにし、人参・たまねぎ・茄子・ねぎ・牛肉を食べやすい大きさに切る。,製麺機で1mmくらいの太さに切る。沸騰した多めのお湯で、パスタを茹でる（4分間、茹で汁に塩を加える）。,フライパンにオリーブオイルを引き、にんにく・生姜を香りが出るまで炒める。続けて、野菜、牛肉を炒める。塩・コショウで味を整える。,茹でたパスタと茹で汁を少しフライパンに加え、水分が無くなるまで炒める。好みに合わせて山椒をふりかけ、くし形に切ったトマトを添えて完成。,,,,,,,,,,,手打ちパスタはもちもちです。,,FIN
3,ポテトのモチモチ焼,じゃがいも,350g,キャベツ,100g,青ねぎ,2本,ゆがいた食用菊,30g,味つけ牛スジ肉,200g,とろろいも,大さじ2,米粉,150g,だし汁,300cc,卵,1個,青のり,少々,カツオ,少々,マヨネーズ,少々,ソース,少々,オリーブオイル,適量,酢,適量,砂糖,適量,塩,適量,,,,,,,,,ジャガイモは皮をむきせん切りにして水にさらす。,オリーブオイルで炒め、酢少々・塩でうす味をつける。,キャベツはせん切り、ねぎは小口切り、食用菊、味つけした牛スジ肉、すりおろしたとろろいもを加える。,ボールに2と3、だし汁・米粉・卵を入れかき混ぜる。,フライパンに油をひき1/4の量を入れる。,焼けたらひっくり返し、ソース・青のり・カツオ・マヨネーズをかける。,,,,,,,,,,今立産のコシヒカリ米を粉にした米粉を使い地元でとれた野菜をたっぷり入れ、栄養のバランスを考え作ってみました。,,FIN
4,海の幸越前お好み焼き,キャベツ,200g,米粉,100g,和風だしの素,8g,山芋のすりおろし,80g,卵,2個,天かす,20g,梅肉,適量,甘えび,100g,生イカ,100g,もみわかめ,10g,お好み焼きソース,適量,マヨネーズ,適量,かつお節,適量,,,,,,,,,,,,,,,,,キャベツは、粗みじん切りにする。,ボールに米粉・水・だしの素・山芋・卵を入れて混ぜ合わせ天かす・梅肉の小口切りを加えてよく混ぜる。,温めたホットプレートに油をひき、短冊に切ったイカと甘エビを並べて生地をのせて焼く。,片面が焼けたらひっくり返して、もみわかめの半量をのせて、じっくり焼く。,お好み焼ソース、マヨネーズ、かつお節、もみわかめをかけて出来上がり。,,,,,,,,,,,福井を代表する海の幸と、里の幸のおいしい出会い！,,FIN
5,カリッ、ふわっ！米粉のベジタブルピザ,（A）米粉,100g,強力粉,100g,ドライイースト,小さじ1,砂糖,小さじ1,塩,小さじ1,オリーブ油,適量,ぬるま湯,140cc,オリーブ油,適量,ピザ用チーズ,適量,ベーコン,6枚,ゆで卵,2個,玉ねぎ,1/2個,ピーマン,1/2個,ピザソース,適量,,,,,,,,,,,,,,,Aの材料を上から合わせていく。,ぬるま湯を加えてさらに混ぜ、まとまってきたら手でこねていく。,室温で30分休ませる。,ラップで生地をはさみ、円盤にのばす。,生地全体にフォークで穴をあけ、オリーブ油をぬる。,220℃で10分焼く。,ピザソースをぬり、スライスしたゆで卵、玉ねぎ、ピーマン、ベーコン、チーズをのせ、さらに15分焼く。,,,,,,,,,米粉を使うとピザがもっちり！,直径24cm1枚分,FIN
6,じゃがいものあげパン,米粉,大さじ3,じゃがいも,大2個,人参,10g,枝豆,5g,粉チーズ,10g,牛乳,100cc,砂糖,大さじ1,塩,少々,サラダ油,200cc,トマトケチャップ,適量,,,,,,,,,,,,,,,,,,,,,,,じゃがいもは皮をむき、茹でてつぶす。,人参は細目に切り、ゆでる。枝豆も茹でておく。,1をつぶした中に人参、枝豆、チーズを混ぜてそこに牛乳を入れ、よく混ぜて8～12等分し、小判型にする。,サラダ油を170℃～180℃に熱くして3を揚げていく。,4を器に盛り、トマトケチャップをつけて食べる。,,,,,,,,,,,具には季節の野菜やきのこをたっぷり入れて、楽しんで下さい。,4人分,FIN
7,もちもち米コロッケ,（コロッケの皮）米粉,100g,薄力粉,50g,ベーキングパウダー,大さじ1/2,砂糖,大さじ2,ぬるま湯,70～80cc,食用菊（ゆがいたもの）,25g,サラダ油,大さじ1/2,鯖缶みそ味,100g,じゃがいも,2～3個,玉ねぎ,1/2個,カレー粉,小さじ2,塩こしょう,適量,砂糖,大さじ1,バター,少々,ミニトマト,,アスパラガスなど,,,,,,,,,,,,ボールに米粉と薄力粉、ベーキングパウダーを入れて混ぜる。砂糖とぬるま湯、刻んだ食用菊、サラダ油も混ぜ合わせる。,5分ほどこね、20分くらい休ませ8枚の皮を作る。,じゃがいもを茹でてつぶす。,玉ねぎをみじん切りにしバターで炒め、塩こしょう、カレー粉、砂糖大さじ1をいれる。,3と4、汁気を切った鯖を混ぜ合わせ8個にまとめる。具を包み米粉をつけ油であげる。野菜をそえる。,,,,,,,,,,,地元今立産のコシヒカリ米を粉にした米粉で皮を作り、もちもちのコロッケを作ってみました。,,FIN
8,もっちり豚ロール,豚モモうすきり,300g,人参,1本（170g）,きぬさや,1パック,ぶなしめじ,1パック,ゆで卵,,米粉,100g,お湯,80cc,（A）水,2カップ,しょう油,大さじ3,みりん,大さじ3,酒,大さじ2,砂糖,大さじ2,,,,,,,,,,,,,,,,,,,米粉とお湯を混ぜ、こねる。ビニール袋に入れ30分ねかせる。,人参はうす切りにしてレンジで45秒温める。,1の生地を薄く伸ばし、豚肉の上に薄く伸ばした生地をのせ、人参・下茹でしたきぬさやをのせ、くるくる巻く。,鍋にAを入れ、3とぶなしめじ、ゆで卵を入れ煮る。,,,,,,,,,,,,きぬさやをいんげんにしたり、海苔を巻いてもよい。,4人分,FIN
9,コメチ―グラタン,（団子）カッテージチーズ,150g,米粉,35g,塩,少々,人参,50g,玉ねぎ,50g,ブロッコリー,半分,ひき肉（豚）,100g,とうもろこし（缶詰め）,100g,バター,20g,（A）米粉,150g,牛乳,400cc,豆乳,200cc,塩,小さじ1/2,パン粉,20g,粉チーズ,40g,塩,小さじ1/2,,,,,,,,,,,（団子）ボールに団子用の材料を全て入れて、しっかりと手で混ぜ合わせる。,1を一口大にまるめて、沸騰したお湯で浮き上がってから1～2分間茹でる。,（グラタン）人参、玉ねぎはみじん切りにブロッコリーは一口大に切り、ブロッコリーは30秒ほど下茹でする。,熱したフライパンにバターをひき、玉ねぎをしんなりするまで炒め、そこにひき肉、人参、とうもろこし、ブロッコリーの順に入れて、肉の色が変わったらふたをしてとろ火で5分おく。,鍋にAを全て加えてよく混ぜ合わせ、混ざったら火にかけ、好みのとろみがついたら火からおろす。（固くなりすぎたら牛乳を加えて混ぜる）,グラタン皿にバター（分量外）をぬり、4をしきつめ、5をかけてパン粉と粉チーズをかけたら230℃のオーブンに15分焼いて完成。,,,,,,,,,,団子にカッテージチーズを入れるとやわらかくなめらかな口あたりに！,,FIN
10,ジュレポン酢風ソースと秋鮭ムニエル～アボカドをそえて～,秋鮭,4切れ,塩・コショウ,少々,米粉,40g,サラダ油,適量,アボカド,1個,レモン汁,適量,水,100cc,米粉,20g,ポン酢,50cc,,,,,,,,,,,,,,,,,,,,,,,,,鮭に塩・コショウで下味をつける。,1に焼く直前に米粉をつけ焼く。,水に米粉を加え弱火にかける。よく練って半透明になったらポン酢を加える。,アボカドを薄切りにしてレモン汁をかけておく。,ムニエル・アボカド・ジュレ風ソースをきれいに盛り付ける。完成。,,,,,,,,,,,流行のジュレポン酢を米粉の糊で作ってみました。鮭とアボカドで日本人だけでなく世界でも認められた組み合わせで秋の季節感も出しました。,,FIN
