id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,備考1,備考2,FIN
1,今庄茶飯,餅米,6合,うるち米,4合,大豆,1/2カップ,酒,150cc,醤油,100cc,豆入り番茶,1つかみ,出し昆布,少々,,,,,,,,,,,,,大豆を炒って皮をむき煮立った番茶につけておく。（200ccくらいの番茶に1時間くらい。）,お米は洗ってザルにあげておく。豆と混ぜる。,番茶をわかしておく。,1のつけ汁180cc+醤油＋番茶1220cc=1500cc,4を煮たててそこへ2を入れてたく。,炊き上がったら、むらす直前に酒を入れる。,,,奈良の東大寺・興福寺などではじめられた「奈良茶飯」が由来とされており、その昔、宿場町だった今庄に旅人が伝えたと言われている。,主に仏事に用いられ、素朴な味は「今庄の味」として伝承されており、現在は仏事だけなくいろいろな行事の際に作られている。しかし、旧今庄村（JR今庄駅のある集落）では、昔からの風習が守られている。,FIN
2,かわり茶飯,うるち米,3カップ,餅米,3カップ,大豆,1/2カップ,番茶（大豆が漬かる程度）,適量,番茶（ごはんを炊く用）,4カップ,大豆をつけた番茶,150cc,醤油＋だしつゆ,大さじ2＋大さじ2,酒,1/2カップ,,,,,,,,,,,大豆を炒り、皮をむき、番茶（適量）に1時間くらいつけておく。,米は合わせて洗い、ざるに上げておく。,番茶と醤油、だしつゆを煮立てて、大豆と米を加えてさっと混ぜ、普通の水加減にして炊き上げる。,炊き上がったら、酒を振りかけて蒸らす。,,,,,毎回同じ味に作るのは難しいという今庄茶飯を、若い世代でも作りやすいようアレンジしたレシピです。,,FIN
3,ますずし,米,1升（10合）,（酢飯用）酒,1カップ,砂糖,1カップ,塩,大さじ2,ます,1尾,（ます酢漬け用）酢,3カップ,砂糖,3カップ,塩,少々,しょうが,2かけ,あぶらぎりの葉,適宜,,,,,,,ご飯を炊く。（油を10円玉2個分くらいいれるとくっつきにくいです。）,酢、砂糖、塩を鍋に入れ火にかけ煮とかす。,ご飯を寿司おけに広げ、2をさっくり切るように混ぜ酢飯をつくる。,塩ますは3枚におろして皮をむき、小骨を丁寧にとり、薄く切って酢に1時間ぐらい漬けておく。,しょうがは千切りにし、水にはなしてあくを抜く。そして固く絞る。,笹の葉2枚を十字に広げて一握りのすし飯、ます、しょうがをのせる。,四角に折って容器にならべ重石をする。,,あぶらぎりを使った「ますずし」は、古くからのご馳走で、6～7月頃に作られる。最近では、あぶらぎりを冷凍して保存し、祭りの時などハレの日にも作られている。,,FIN
4,五目寿司,米,6合,（合わせ酢）酢,大さじ8,砂糖,大さじ3,塩,小さじ2,人参,200g,かんぴょう,60g,しいたけ,2枚,ひじき,適量,薄油揚げ,4枚,（A）出し汁,2カップ,砂糖・醤油・みりん,適宜,卵,6個,紅生姜・のり,少々,かんぴょうは水に戻し、長さ2ｃｍに切る。ひじきも水にもどしておく。人参はささがき、しいたけ、油揚げは細切りにする。,Aで煮る。砂糖、醤油、みりんは、好みに合わせて量を調節する。,炊きあがったご飯に、合わせ酢を混ぜ、うちわでよくあおぎすし飯をつくる。,すし飯と2の具を混ぜて器にもり、錦糸卵の紅生姜、のりを上に飾る。,,,,,春・秋の祭りには、かかせないご馳走である。中にはいる具は、春には竹の子やふき、秋には栗と工夫でき、そのときどきの季節の旬を楽しむこともできる。,,FIN
5,いかの巻き寿司,米,4合,イカ,3バイ,ウニ,少々,きゅうり,1本,わさびまたは生姜,少々,のり,4枚,酢飯用調味料,適宜,,,,,,,,,,,,,いかは皮をむいて1cm幅に切り、塩水で茹でる,ウニを少量の酒で溶いて、1のイカを浸しておく。,ご飯をすし飯にする。,きゅうりはたてに4等分してうす塩をする。（きゅうりの水分をとるため）,のりをしき、すし飯をのせて2と3をのせてわさびか生姜をのせて巻く。,,,,イカは、年間通してとれる。海岸に近い地域では、巻きずしの具として新鮮なイカを用い、ハレの日のご馳走としている。,,FIN
6,かやくご飯,米,4合,昆布,,薄あげ,1と1/3枚,人参,100g,干ししいたけ,6枚,こんにゃく,60g,ごぼう,60g,こうや豆腐,6枚,グリンピース,適宜,（調味料）醤油,大さじ8,酒,大さじ2,みりん,大さじ4,出し汁,8カップ,米は洗ってザルにあげておく。,しいたけは洗い水に浸しておく。もどったらいしづちをとって千切りにする。,ごぼうは皮をこそげ取りささがきにして水に浸しあく抜きをする。,人参、薄あげは2cm位の長さに千切りにする。,こうや豆腐は水に戻して柔らかくなったらさいの目に切る。,こんにゃくも細かくさいの目に切り、熱湯でさっとゆでて、アク抜きをする。,しいたけのつけ汁に2～6の材料を入れて調味料を加えて煮あげ、汁と具に分ける。,米を炊飯器に入れ、7の煮汁をいれて普通の水加減で炊く。炊きあがったところへ7の具を入れ蒸らす。,魚や貝類を使わず、主として身近にある野菜や高野豆腐などを用いるのが特徴である。,,FIN
7,赤飯,餅米,1升（10合）,ささげ,150g,（塩水）水,20cc,塩,大さじ1,ごま,少々,,,,,,,,,,,,,,,,,餅米は前日より水に浸しておく。,かなささげは半炊きにする。,餅米をざるに入れて水を切り、2の煮汁につける。,3の米の水を切り、半炊きの2とよく混ぜ合わせ蒸す。,半蒸しのところで、湯のみ一杯の塩水を打ちふっくらするまで蒸す。,,,,お祝い事にはかかせません。昔は、氏神祭り、婚礼、誕生祝い、先祖まつりなど、行事のあるごとに作られていました。,赤飯のことを「おこわ」という地区もあります。,FIN
8,青豆いりおこわ,もち米,6合,えだ豆,1と1/2カップ,塩,少々,,,,,,,,,,,,,,,,,,,,,米は前日より水に浸しておく。,豆は、固ゆでして莢から出しておく。,米の水を切って蒸す。,半蒸しのところで、湯のみ一杯の塩水を打ち、2の枝豆を加えてふっくらするまで蒸す。,,,,,赤飯のアレンジバージョンです。小豆のかわりに枝豆を使っています。,,FIN
9,かわりおこわ,もち米,1升（10合）,山菜水煮袋,3袋,ぜんまい、わらび、竹の子,,黒豆,1合,（調味料）醤油,適宜,塩,適宜,砂糖,適宜,,,,,,,,,,,,,餅米は前日に洗って、一晩水に浸けておく。,黒豆を10分ほど茹でて、ザルにあげておく。,1に2の黒豆、山菜水煮、調味料を加えて軟らかくなるまで蒸す。,,,,,,もち米を使って強飯（こわめし）にしたものを「おこわ」と呼んでいます。中にいれる具は工夫できます。,,FIN
10,牛肉とごぼうのおこわ,もち米,6合,水,5合,牛薄切り肉,300g,ごぼう,300g,（煮汁）スープ（水＋コンソメ）,3カップ,醤油、酒、砂糖,各大さじ4,みりん、しょうが汁,各大さじ2,塩,少々,白ごま,大さじ8,三つ葉,適宜,レモン,適宜,,,,,米は炊く30分以上前に洗って分量の水に浸しておいてから普通に炊く。,牛肉は一口大に、ごぼうは皮をこそげ、洗った後、ささがきにして水に放す。,鍋にスープと煮汁の調味料を全て入れ、火にかける。,3が煮立ってきたら、ごぼうと牛肉を加え、中火で時々かき混ぜながら加熱する。（煮汁が45ccくらいになるまで煮詰める。）,炊き上がった1のおこわに4の具を煮汁ごと加え、白ごまも加えて混ぜ合わせる。,5を器に盛り、ざく切りにした三つ葉を散らし好みでレモンを絞る。,,,「おこわ」のアレンジメニューです。栄養素に気を遣った一品です。若い方にも人気です。,,FIN
