id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,手順1,手順2,手順3,手順4,手順5,手順6,手順7,分量,ジビエポイント1,ジビエポイント2,奥越産食材ポイント,FIN
1,1.鹿肉のロースト　カルパッチョ風に仕立てて奥越の春待ち野菜のサラダと共に,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,臭みが多いすじや脂を丁寧に取り除くことによって、鹿肉の独特のにおいを抑えられます！,,青大豆の食感ときれいな緑色がサラダをおいしくします！,FIN
2,鹿肉のロースト,鹿ロース肉(モモ肉でも代用可),1kg,塩、こしょう,,,,,,,,,,,,,,,,,,,,鹿ロース肉の余分なすじや脂は取り除き、適度な大きさにカットする。タコ糸で肉を筒状の形に整えながらしばっていく。(火の入れ方を均等にするため),鹿ロース肉に塩、こしょうをまんべんなくして、フライパンで焼き、表面にこんがりと焼き色をつける。,180℃のオーブンで焼く。40分が目安。カットした肉の大きさにもよるのであくまで目安に。,,,,,,,,,FIN
3,春待ち野菜のサラダ,お好みの野菜,,ダイコン、ニンジン、カブ、白菜、ホウレンソウなど,各30g,青大豆,20g,,,,,,,,,,,,,,,,,ダイコン、ニンジン、カブは皮をむいてマッチ棒ほどの大きさに切って水にじゅうぶんさらす。白菜、ホウレンソウは水にさらして、水気を切ったら1cm幅に切る。青大豆は茹でておく。,1を全部ボウルに入れ、お好みのドレッシングで和える。,,,,,,,,,,FIN
4,2.鹿肉の赤ワイン煮と奥越の冬の食材のシンフォニー　Mix Berry甘酸っぱいソース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹿が好んで食べるラズベリーなどを鹿肉と組み合わせるのは鹿肉料理の定番。,,冬が旬のホウレンソウにはビタミンCが多く含まれています。味も凝縮しておいしさも増します。,FIN
5,鹿肉の赤ワイン煮,豚バラ肉,1kg,赤ワイン,2L,玉ネギ,2個,ニンジン、セロリ,各1本,にんにく,1個,塩、こしょう、油、小麦粉,,,,,,,,,,,,余分なすじや脂を取り除いた鹿バラ肉をたこ糸整形する。(焼き豚を作る要領で)　小麦粉を表面にまぶして、油をひいたフライパンで焼き色をつける程度に焼く。,玉ネギ、ニンジンは皮をむいて、セロリ、にんにくとともに一口大に切って、軽く炒める。,1と2を鍋に入れて、赤ワインを入れ4時間ほど煮込む。(竹串がスッと入ったらO.K.),肉は取り出しておく。煮汁と野菜をミキサーにかけてとろとろになったら鍋に移し、煮詰める。(ソースになる。),,,,,,,,FIN
6,ミックスベリーのソース,赤ワイン,100cc,鹿バラ肉を煮た煮汁,50cc,ミックスベリー(ラズベリー、ブルーベリ、ブラックベリー(くわの実)、イチゴなど),,バター,50g,,,,,,,,,,,,,,,赤ワインを鍋に入れ、1/3量になるまで煮詰め、鹿バラ肉を煮た煮汁を加えさらに煮立たせる。,ミックスベリーを入れ、バターを入れて煮溶かす。,,,,,,,,,,FIN
7,ホウレンソウのバターソテー,,,,,,,,,,,,,,,,,,,,,,,塩を入れて茹でたホウレンソウを3～4cm幅に切り、バターソテーする。,,,,,,,,,,,FIN
8,ニンジンのグラッセ,,,,,,,,,,,,,,,,,,,,,,,皮をむいたニンジンを輪切り(もしくはくし型)にカットし、面取りする。,鍋に入れて、バターで炒める。,砂糖、ブイヨンを加えて煮る。,,,,,,,,,FIN
9,原木しいたけの赤ワイン煮,,,,,,,,,,,,,,,,,,,,,,,石づきを取り、大きいものは半分に切る。,たっぷりの赤ワインでやわらかく煮込み、塩、こしょうで味を調える。,,,,,,,,,,FIN
10,いのしし肉(鹿肉)のコンフィ,いのしし肉(鹿肉),1kg(脂の多い部位。バラ肉など),ラードやいのしし脂,1L(肉が全部浸る量),塩,,,,,,,,,,,,,,,,,,いのしし肉(鹿肉)に塩をきつめに(約4%)かけ、冷蔵庫に入れて2、3日おく。,肉の表面の塩を水で洗う。,肉とラードやいのししの脂を鍋に入れ、湯煎して火にかけ、4時間煮る。(細めのスパゲッティを肉に刺してスッと入っていけばO.K.),そのまま冷やす。保存する場合は脂ごと容器に入れて、空気に触れないようにして冷蔵庫へ入れて保存),完全に冷めたら肉を取り出して用途に合わせてカットする。,,,,塩をすることで、水分とともに臭みの原因となるものも出てくるので、いやなクセを抑えることができます。,コンフィにすると、凝縮した肉の旨みを十分に味わえます。アレンジしていろいろな料理に使えます。,,FIN
